Company,Vendor
ERICSSON FIBER ACCESS,ericsson
Open Access Pty Ltd,open
Sterling Commerce,commerce
Predictive Systems Inc.,psi
Eclipse Technologies Inc.,eclipse
Navy,manta
Universitat de Barcelona,es
Institute for Simulation and Training (IST),ucf
US Agency for International Development,gov
Lucent Technologies,lucent
Unify Corporation,unify
PLUSKOM GmbH,pg
"Real Soft, Inc",real
Patton Electronics Company,patton
Digital Fairway Corporation,digital
PC Magic,magic
Koninklijke Philips Electronics NV,philips
ORIGIN,philips
NCR Austria Michael Ostendorf,ncr
"PowerTV, Inc.",pi
Paradyne,eng
"Nastel Technologies, Inc.",nyc
Consensus Development Corporation,cdc
SAGEM SA,sagem
"Verint Systems, Inc (formerly Witness Systems, Inc)",verint
Infonet Software SolutionsDavid Hauck,ca
Open Port Technology,open
"Fore Systems, Inc.",fsi
MTech Systems,aol
RxSoft Ltd.Timothy Madden,aol
"Optivision, Inc.",oi
DK Digital Media,digital
Fujitsu Service Limited,fujitsu
Inmarsat,inmarsat
Accusort Systems Inc,asi
Cambridge Parallel Processing Ltd,processing
News Digital Systems Ltd,digital
Overland Mobile Communication AB,mobile
Axon IT AB,axon
Gradient Medical Systems,axon
Browncroft Community Church,xerox
US Internet,ui
Absolute Time,absolute
"NetSpeed, Inc.",ni
Softbank Services Group,softbank
Telia Promotor AB,se
"Quantum Telecom Solutions, Inc.",quantum
Albis Technologies Ltd. (formerly 'Siemens Switzerland Ltd.'),albis
Red Lion Controls (JBM Electronics),redlion
"OPTIM Systems, Inc.",optim
Siemens ICN,siemens
InfoVista,infovista
NetIcs Inc.,ni
Extreme Networks,extremenetworks
Deutscher Wetterdienst,dw
Blue Line,line
Milton,milton
"Homewatch International, Inc.",aol
"Remark Services, Inc.",remark
Deloitte & Touche Consulting Group,deloitte
The Matrix,matrix
Princeton BioMedica Inc.,princeton
"UTStarcom, Inc.",ui
Qualop Systems Corp,qsc
GRETACODER Data Systems AG,pax
Concord Electronics,concord
Richard Ricci DDS,aol
OPTIMUM Data AG,ibm
Perle Systems Limited,perle
"Network Harmoni, Inc.",nhi
EMC CLARiiON Advanced Storage Solutions,emc
"CleverSoft, Inc.",cleversoft
"The Perseus Group, Inc.",aol
Statens Institutions styrelse SiS,sis
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",brocade
Xyratex,x
PlaNet Software Inc.,planet
TIBCO Inc.,tibco
Oki Data Corporation,oki
Adobe Systems Incorporated,adobe
Aeroports De Paris,adp
"TELDAT, S.A.",es
A. J. Boggs & Company,company
"HUAWEI Technology Co.,Ltd",huawei
"ADC Telecommunications, Inc.",ati
Scandorama AB,se
NetGain,se
Gauss Interprise AG,opentext
Quantum Corporation,quantum
IEEE 802.5,ieee
Open Development Corporation,open
RFG SystemsRamon Ferreris,aol
Leo & Associates,ibm
"NetSolve, Inc.",ni
Xantel,x
"Aware, Inc.",aware
Consensys Computers Inc,consensys
Jade Digital Research Co.,digital
Financial Network Technologies Inc.,aol
Future Software,fs
Virtual Access Ltd,virtualaccess
IPM DATACOM,id
"Tollgrade Communications, Inc.",tollgrade
Orange Services US,orange
Isolation Systems Limited,isl
"AVIDIA Systems, Inc.",asi
Philips Business Communications,philips
FMS Services,fs
Murphy & Murphy Real Estate,real
"Allegro Consultants, Inc.",allegro
AIAB,se
sotas,aol
HANWHA CORP./TELECOM,htc
Orion Pictures Corporation,orion
"ioWave, Inc.",aol
Signals and Semaphores,sas
Broadband Networks Inc.,ca
Federal Aviation Administration,dot
"Novadigm, Inc.",ni
"Electronics For Imaging, Inc.",eng
"Future Systems, Inc.",fsi
Irdeto B. V.,irdeto
Onion Peel Software,peel
SDS Ltd.,ca
Berkeley Networks,berkeley
Easy Software,es
Essential Communications,essential
ZOHO Corporation (formerly 'Advent Network Management'),zoho
"Vayris, S.A.",es
